date,net_pnl_usd,cum_pnl_usd
2017-04-10,-321.3461638716683,-23571.37192562856
2017-04-11,-72.45054283130372,-23643.82246845986
2017-04-12,129.3953445463154,-23514.427123913545
2017-04-17,206.15449380611187,-23308.272630107433
2017-04-18,-598.8055664837578,-23907.078196591192
2017-04-19,-290.7481827596962,-24197.82637935089
2017-04-20,-86.91872101457216,-24284.74510036546
2017-04-21,-375.18521817837006,-24659.93031854383
2017-04-24,-1710.6788838050813,-26370.60920234891
2017-04-25,-846.7990515842782,-27217.40825393319
2017-04-26,1189.8938358917446,-26027.514418041446
2017-04-27,-847.5189927485383,-26875.033410789983
2017-04-28,-321.15864077741236,-27196.192051567396
2017-05-01,226.40264481192966,-26969.789406755466
2017-05-02,-1560.1524385216967,-28529.941845277164
2017-05-03,-100.63772926287598,-28630.57957454004
2017-05-04,-2199.9468370162554,-30830.526411556293
2017-05-05,-682.177272848033,-31512.703684404325
2017-05-08,-817.8181120406255,-32330.52179644495
2017-05-09,-283.24251571886816,-32613.764312163818
2017-05-10,-836.6310911042327,-33450.39540326805
2017-05-11,-730.8456524453647,-34181.24105571341
2017-05-12,-28.00996758370667,-34209.25102329712
2017-05-15,-1479.3100238072545,-35688.56104710437
2017-05-16,-344.34796995910244,-36032.90901706347
2017-05-17,1736.1867758813794,-34296.72224118209
2017-05-18,2072.967527357915,-32223.754713824175
2017-05-19,445.97827222540707,-31777.77644159877
2017-05-22,-673.5214093745078,-32451.29785097328
2017-05-23,764.5806695636637,-31686.717181409615
2017-05-24,-240.9707885913253,-31927.68797000094
2017-05-25,216.90786867960628,-31710.780101321336
2017-05-26,949.5143542005528,-30761.265747120782
2017-05-30,-249.06563099109525,-31010.331378111878
2017-05-31,9.509036683076602,-31000.8223414288
2017-06-01,963.7669051148442,-30037.055436313956
2017-06-02,1021.7560513309176,-29015.299384983038
2017-06-06,-185.44976717096856,-29200.749152154007
2017-06-08,350.11348597981964,-28850.63566617419
2017-06-09,1308.3352589269487,-27542.30040724724
2017-06-12,582.2352444949247,-26960.065162752315
2017-06-14,214.42942960057405,-26745.63573315174
2017-06-15,-3.2637444881876547,-26748.899477639927
2017-06-16,566.5023158899392,-26182.39716174999
2017-06-19,-280.9366374519981,-26463.333799201988
2017-06-20,-576.7309657997569,-27040.064765001745
2017-06-21,-165.84301060715924,-27205.907775608906
2017-06-22,-553.5256386640147,-27759.43341427292
2017-06-23,-82.67834814014546,-27842.111762413067
2017-06-26,314.6911258177643,-27527.420636595303
2017-06-27,-166.66736564170046,-27694.088002237004
2017-06-29,-896.2181972044114,-28590.306199441417
2017-06-30,1245.407551218005,-27344.89864822341
2017-07-03,-273.5593425744472,-27618.45799079786
2017-07-05,-489.5939819355217,-28108.05197273338
2017-07-06,-509.2541061975205,-28617.306078930902
2017-07-07,-1335.1901570935688,-29952.49623602447
2017-07-11,138.80249923710983,-29813.69373678736
2017-07-13,216.98416350955992,-29596.709573277803
2017-07-14,-42.24844903255939,-29638.958022310362
2017-07-17,-548.9204602388321,-30187.878482549193
2017-07-18,129.7312938804835,-30058.14718866871
2017-07-19,320.20963611201216,-29737.937552556697
2017-07-20,-273.25914070448226,-30011.19669326118
2017-07-21,-411.4790610759753,-30422.675754337153
2017-07-24,-166.70786842847517,-30589.38362276563
2017-07-25,-137.5440939430909,-30726.92771670872
2017-07-26,-318.20789726451306,-31045.135613973234
2017-07-27,-1877.505504652755,-32922.64111862599
2017-07-28,42.51280413666893,-32880.12831448932
